DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
12-09-2014,509,512.05,506,507.85,184960,9642
15-09-2014,504.95,505.58,500.5,501.43,166076,11096
16-09-2014,501.2,502.25,489,490.23,338742,16118
17-09-2014,492.85,495,490,494,143040,11686
18-09-2014,493.5,504.5,491.6,502.25,204927,10908
19-09-2014,502.88,507.63,495.5,497.3,232723,12531
22-09-2014,497,498,493.93,495.55,230827,10644
23-09-2014,495.85,497.48,481.5,483.05,379681,21325
24-09-2014,487,487,478.13,482.45,389903,20775
25-09-2014,482.7,485,461.5,464.7,550817,27285
26-09-2014,464.75,470.7,459.05,466.8,566670,28079
29-09-2014,469.2,471.3,464.88,466.38,340521,19085
30-09-2014,465,474.13,462.6,472.68,464546,18244
01-10-2014,472.4,472.55,462.88,463.4,242980,15022
07-10-2014,464.45,467.45,461.85,463.33,303341,12245
08-10-2014,461.8,471,461.05,468.58,347379,14753
09-10-2014,470.2,478.6,470,477.33,329224,16857
10-10-2014,474.45,484.18,468.48,480.15,426404,17894
13-10-2014,480.5,482,474.4,478.93,337956,18317
14-10-2014,489.9,490,479.58,480.55,408844,24590
16-10-2014,477.3,478.4,464.23,466.18,746585,28978
17-10-2014,467.5,470.5,462.8,469.08,328961,16278
20-10-2014,468.78,470.9,456.38,467.25,652730,30242
21-10-2014,468.05,468.5,463.55,464.58,675337,20080
22-10-2014,468.35,475.45,466.83,472.98,297438,14942
23-10-2014,474.5,477.25,474.5,476.48,108618,6942
27-10-2014,479.6,480.45,468.83,470.85,441903,12565
28-10-2014,472,472,463.5,467.03,320360,16344
29-10-2014,469,476.2,467,475.65,339976,11635
30-10-2014,474.2,490.73,474.15,489.65,516949,21801
31-10-2014,491,501.35,490.95,499.6,448775,22382
03-11-2014,501,504.25,495.28,500.6,312737,14272
05-11-2014,500.6,504,494,495.68,347541,18759
07-11-2014,495.5,497.75,489.25,490.45,206131,12985
10-11-2014,491.18,494.55,484.05,484.75,221127,11487
11-11-2014,486.2,493.6,483.5,488.88,250283,13785
12-11-2014,491,492,485,486.95,202968,11121
13-11-2014,487.85,489.9,482.08,484.38,254053,10764
14-11-2014,485.03,488.75,482.5,484.58,222877,11137
17-11-2014,484.5,492.5,483.48,491.68,194004,11171
18-11-2014,493.18,498.75,492.75,493.88,222641,12828
19-11-2014,493.88,495.9,488.13,488.9,128947,8710
20-11-2014,488.9,491.45,485.1,490.2,146371,8947
21-11-2014,490.45,499.95,490,498.73,330633,17236
24-11-2014,500,501.58,491,492.3,240475,10659
25-11-2014,492.5,497.45,487,496.18,411139,16287
26-11-2014,496.5,496.5,491.25,493.68,231957,9631
27-11-2014,495,496.48,491.63,493.58,121260,6823
28-11-2014,494.63,508.1,491.78,495.43,686126,29132
01-12-2014,494.7,495.85,479.6,480.88,358056,17607
02-12-2014,482.2,485.45,479.18,481.25,271500,13751
03-12-2014,480.45,486.8,480.45,483.1,287427,12605
04-12-2014,484.18,487.18,478.05,479.28,200289,11404
05-12-2014,480.5,483.4,477.75,478.85,267932,12724
08-12-2014,481.15,481.45,471.3,472.53,241942,12601
09-12-2014,471.2,475.03,465.7,469.65,274350,16099
10-12-2014,466,470.45,465,466.03,232415,12554
11-12-2014,465,465,451.6,453.15,591530,34120
12-12-2014,454,455.73,440.43,441.78,773309,27536
15-12-2014,438.1,440.45,436.2,439.23,444704,15905
16-12-2014,437.75,441.5,429.98,432.05,924850,24025
17-12-2014,433.4,437.48,432.28,434.98,696533,22878
18-12-2014,440,442.63,432.63,440.13,534436,19207
19-12-2014,443.4,454.3,441.2,450.08,475639,19452
22-12-2014,451.6,453.23,445.53,452.25,214829,10477
23-12-2014,451.7,451.98,446.03,446.95,276109,12684
24-12-2014,447.5,448.3,440.83,443.4,671806,15282
26-12-2014,443.9,446.35,440.13,444.5,245823,10623
29-12-2014,444.25,450.25,443.3,448.5,403990,12344
30-12-2014,449.2,449.25,438.83,440.3,439874,14392
31-12-2014,440.13,446.9,439.78,445.58,328465,8506
01-01-2015,442.75,446.08,442.1,444.03,181432,7338
02-01-2015,444.4,448,442,442.8,260835,9740
05-01-2015,442.78,445.45,437.65,438.55,328788,19270
06-01-2015,436,436,416.05,418.05,975422,39864
07-01-2015,419.35,429.4,418.6,427.7,660342,26226
08-01-2015,429.93,431.48,420.85,421.43,787134,24450
09-01-2015,423.08,431.25,422.55,430.23,510671,20043
12-01-2015,431.25,431.5,421.18,425.28,503008,16807
13-01-2015,426.38,427.23,420.33,421.53,426946,12635
14-01-2015,421.55,423.45,415.55,417.53,669183,17722
15-01-2015,420.63,435.1,420.55,432.3,574183,22637
16-01-2015,430.5,437.03,426.08,434.5,394114,18515
19-01-2015,435,442.88,429.53,439.93,460462,20417
20-01-2015,441.4,451.88,439.3,450.58,397727,20319
21-01-2015,452,454.6,446.15,452.33,358347,20303
22-01-2015,452.6,453.48,439.68,442.05,425122,16826
23-01-2015,445,448.45,438.73,443.48,405448,17925
27-01-2015,445.1,448.45,440.45,444.38,360069,17768
28-01-2015,442.55,454.88,442.5,452.93,398082,19173
29-01-2015,453,467.13,451,463.95,550069,29739
30-01-2015,465.03,466,455,457.68,242053,11875
02-02-2015,457.58,459.68,453,453.95,845402,10538
03-02-2015,456.25,470.1,455.65,468.73,432764,21279
04-02-2015,469.7,471.55,462.85,464.35,399472,17033
05-02-2015,466.25,469.3,459.08,461.18,333040,15156
06-02-2015,462.85,465.08,452,455.23,302154,16341
09-02-2015,451.5,457.85,445.98,448.65,441242,19104
10-02-2015,446,452.5,431.2,441.35,486418,20611
11-02-2015,442.5,452.1,441.83,450.48,263416,12685
12-02-2015,453.18,457.5,443.65,455.23,315228,14910
13-02-2015,457.5,460,454.83,458.6,277851,12272
16-02-2015,460,461.98,450.03,451.33,275109,14078
18-02-2015,450,454,447.53,450.73,211791,11545
19-02-2015,452.5,453.58,443.78,450.68,291714,15402
20-02-2015,448.5,448.5,436,436.63,575890,26404
23-02-2015,434.9,438.2,423.33,425.58,530826,22462
24-02-2015,426.5,428.6,418.55,420.88,616856,28760
25-02-2015,423.5,428.2,420.8,421.78,643101,23261
26-02-2015,423.03,425,418.55,421.13,632989,23478
27-02-2015,423.08,430.25,422.3,427.83,426181,16233
28-02-2015,430.9,434.2,423.5,433.13,511174,22193
02-03-2015,434.93,437.8,428.08,431.85,360646,14305
03-03-2015,435,453.25,433.7,450.83,707794,36015
04-03-2015,452.5,454.5,440.2,443.48,384308,17540
05-03-2015,445.5,449.2,439.75,442.2,306655,14198
09-03-2015,442,445.9,432.1,434.33,299199,14033
10-03-2015,435,437.45,427.7,429.55,589174,24051
11-03-2015,430,434.75,426.6,427.93,240858,13955
12-03-2015,430,433.1,427.78,431.88,218285,10224
13-03-2015,434.5,434.98,423.5,425.08,294391,14724
16-03-2015,427,427,420.5,421.03,567883,19700
17-03-2015,424.08,429.9,420.5,428.43,588090,21757
18-03-2015,429,436.45,427.5,434.38,310093,15046
19-03-2015,437.5,438,426.05,428.13,254726,13145
20-03-2015,428.05,430.5,424.43,427.15,195127,10758
23-03-2015,428.18,431.73,419.05,421.13,311055,16913
24-03-2015,421.23,427.23,421.03,424.4,438979,18032
25-03-2015,425.25,425.25,420.08,422.35,382017,12093
26-03-2015,420.68,424.38,412.28,415.3,382644,14318
27-03-2015,416.3,417.58,400.75,405.88,535694,32094
30-03-2015,408,409,398.38,405.18,451512,24134
31-03-2015,408.05,416.03,408.05,412.35,314795,15847
01-04-2015,412.48,419,407,417.28,254414,15179
06-04-2015,417.65,418.98,410.73,412,219606,12073
07-04-2015,412.55,417.95,412.55,416.4,255261,14472
08-04-2015,418,434.58,416.5,432.75,651313,30326
09-04-2015,433.05,449.45,430,447.48,1119528,30292
10-04-2015,447.5,453.35,444.5,451.83,478685,22999
13-04-2015,454.2,462.5,449.3,461.2,469162,35204
15-04-2015,460.45,469.7,453.8,461.88,513681,28895
16-04-2015,463.08,468.8,459.5,463.73,499935,21865
17-04-2015,467.7,471.9,461.58,463.43,462394,24343
20-04-2015,468.28,468.98,439.38,442.78,827606,44115
21-04-2015,444,447.53,436.23,437.95,425129,21128
22-04-2015,440.3,443.3,433.8,439.95,302454,16632
23-04-2015,442.33,444.95,434.63,438.5,310531,18261
24-04-2015,438.43,441.98,434.2,439.7,307251,16802
27-04-2015,440.5,443.75,435.5,437.28,245491,14993
28-04-2015,437.5,440.88,430,432.5,477021,17242
29-04-2015,431.7,435.48,424.15,425.63,309185,18846
30-04-2015,425.85,432.95,424.25,431.43,333967,21374
04-05-2015,433.5,446.63,430.6,445.23,357224,17933
05-05-2015,446.5,450.88,442.5,445.45,357104,19822
06-05-2015,445.53,448.2,436,439.63,532670,27282
07-05-2015,438.65,439.5,430,434.7,439971,21683
08-05-2015,435.5,446.7,431.8,444.95,489222,21074
11-05-2015,446,449.48,441.6,447.88,367532,9269
12-05-2015,447.5,447.5,432.63,434.18,373248,10845
13-05-2015,437.5,444.5,428.95,442.4,437442,12081
14-05-2015,441.13,443,435.5,439.25,316156,8117
15-05-2015,440.65,443.2,435.6,436.98,200012,5196
18-05-2015,438.1,446.05,436.5,445.25,262804,8401
19-05-2015,446,452.48,443.55,447.75,399582,10684
20-05-2015,450,454.75,449.45,453.7,301940,8537
21-05-2015,455.13,457.75,447,448.45,485092,7598
22-05-2015,448.6,452.4,448.5,451.33,189317,5603
25-05-2015,450.68,453.8,446.1,447.1,190722,5431
26-05-2015,447.75,448.25,441.6,442.33,154381,4315
27-05-2015,442.05,445.4,440.38,443.48,188643,5579
28-05-2015,443.45,447,436.7,438.38,235493,6928
29-05-2015,439.75,443.25,437,438.58,623744,9243
01-06-2015,438.5,452,438.5,450.68,271380,8619
02-06-2015,452.08,459.25,445.58,449.35,558053,15121
03-06-2015,449.5,455.18,444.5,447.95,445685,12197
04-06-2015,451.55,457.95,447.53,456.25,461778,16188
05-06-2015,455,458.33,452,453.03,287749,8948
08-06-2015,454.4,455.33,441.83,442.63,216884,8307
09-06-2015,442.63,445.25,439,441.95,204010,6345
10-06-2015,442.5,454.95,442.5,452.95,289182,11025
11-06-2015,453.45,454.48,437,438.6,416598,10919
12-06-2015,439.65,446.25,439.43,444.58,397129,13400
15-06-2015,446.85,452.3,445,450.5,259776,6435
16-06-2015,449.95,452.95,446.25,451.98,312970,7576
17-06-2015,452.5,470.2,447.2,465.55,869836,22298
18-06-2015,467.2,491,466.5,489.53,1403351,39234
19-06-2015,491.5,503,491.5,498.25,1072967,29040
22-06-2015,498.45,504.35,493.33,495.68,649734,19494
23-06-2015,496.38,501.2,495.38,497.38,508162,10433
24-06-2015,497.63,503.28,493,495.38,659933,12859
25-06-2015,495.25,504.53,492.58,502.33,778667,16734
26-06-2015,501.13,506.9,497.75,499.78,552085,14909
29-06-2015,492.5,496.8,486.3,495.38,536953,13021
30-06-2015,495,501.75,494,500.23,488603,10383
01-07-2015,501.2,505.33,501,502.88,463792,12123
02-07-2015,503.53,509.98,503.08,505.15,585463,11220
03-07-2015,505.45,506.75,501.73,503.38,532965,8390
06-07-2015,500,509.43,498,507.65,564557,10252
07-07-2015,507,508.25,500.15,501.7,213529,5618
08-07-2015,500,504.1,495.23,497.4,410815,10085
