DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
04-06-2014,548,550.75,537.9,538.95,275837,17721
05-06-2014,540.43,547.35,532.08,543.8,410266,23198
06-06-2014,555,566.4,552.5,559.93,743665,37903
09-06-2014,564.58,566.05,556.55,561.3,376007,19273
10-06-2014,563.33,564.08,550.5,558.93,304537,18158
11-06-2014,557.8,559.5,546.63,550.78,351978,19808
12-06-2014,549.8,556.48,543.03,547.3,287988,18657
13-06-2014,550.75,553.48,536.2,540.98,305472,18862
16-06-2014,541.05,542.5,529.5,532.25,308534,21552
17-06-2014,529.85,547.33,529,544.95,355737,24063
18-06-2014,547.5,550.98,530.78,533.4,732455,49484
